n;thema;frage;antwort
1;Präteritum;3. Person Plural Präteritum von 'erscheinen';Sie erschienen.
1;Präteritum;2. Person Plural Präteritum von 'studieren';Ihr studiertet.
1;Präteritum;2. Person Singular Präteritum von 'helfen';Du halfst.
1;Präteritum;3. Person Plural Präteritum von 'spucken';Sie spuckten.
1;Präteritum;2. Person Singular Präteritum von 'müssen';Du musstest.
1;Präteritum;2. Person Singular Präteritum von 'studieren';Du studiertest.
1;Präteritum;3. Person Singular Präteritum von 'sterben';Er/sie/es starb.
1;Präteritum;3. Person Singular Präteritum von 'probieren';Er/sie/es probierte.
1;Präteritum;3. Person Plural Präteritum von 'verheiraten';Sie verheirateten.
1;Präteritum;3. Person Singular Präteritum von 'studieren';Er/sie/es studierte.
1;Präteritum;3. Person Plural Präteritum von 'können';Sie konnten.
1;Präteritum;3. Person Plural Präteritum von 'studieren';Sie studierten.
1;Präteritum;2. Person Plural Präteritum von 'leben';Ihr lebtet.
1;Präteritum;1. Person Plural Präteritum von 'erscheinen';Wir erschienen.
1;Präteritum;2. Person Plural Präteritum von 'grassieren';Ihr grassiertet.
1;Präteritum;3. Person Singular Präteritum von 'vermehren';Er/sie/es vermehrte.
1;Präteritum;1. Person Plural Präteritum von 'leben';Wir lebten.
1;Präteritum;3. Person Plural Präteritum von 'wissen';Sie wussten.
1;Präteritum;3. Person Singular Präteritum von 'sein';Er/sie/es war.
1;Präteritum;2. Person Singular Präteritum von 'erscheinen';Du erschienst.
1;Präteritum;2. Person Singular Präteritum von 'beten';Du betetest.
1;Präteritum;2. Person Singular Präteritum von 'müssen';Du musstest.
1;Präteritum;2. Person Singular Präteritum von 'grassieren';Du grassiertest.
1;Präteritum;3. Person Singular Präteritum von 'sterben';Er/sie/es starb.
1;Präteritum;2. Person Plural Präteritum von 'studieren';Ihr studiertet.
1;Präteritum;3. Person Singular Präteritum von 'mögen';Er/sie/es mochte.
1;Präteritum;2. Person Plural Präteritum von 'leben';Ihr lebtet.
1;Präteritum;1. Person Singular Präteritum von 'probieren';Ich probierte.
1;Präteritum;1. Person Plural Präteritum von 'leben';Wir lebten.
1;Präteritum;3. Person Plural Präteritum von 'sterben';Sie starben.
1;Präteritum;2. Person Plural Präteritum von 'helfen';Ihr halft.
1;Präteritum;2. Person Plural Präteritum von 'wissen';Ihr wusstet.
1;Präteritum;3. Person Plural Präteritum von 'müssen';Sie mussten.
1;Präteritum;1. Person Plural Präteritum von 'wissen';Wir wussten.
1;Präteritum;1. Person Singular Präteritum von 'mögen';Ich mochte.
1;Präteritum;1. Person Plural Präteritum von 'sterben';Wir starben.
1;Präteritum;1. Person Singular Präteritum von 'treiben';Ich trieb.
1;Präteritum;2. Person Plural Präteritum von 'grassieren';Ihr grassiertet.
1;Präteritum;3. Person Singular Präteritum von 'nehmen';Er/sie/es nahm.
1;Präteritum;2. Person Plural Präteritum von 'beten';Ihr betetet.
1;Präteritum;2. Person Singular Präteritum von 'können';Du konntest.
1;Präteritum;1. Person Singular Präteritum von 'leben';Ich lebte.
1;Präteritum;3. Person Singular Präteritum von 'beten';Er/sie/es betete.
1;Präteritum;1. Person Singular Präteritum von 'helfen';Ich half.
1;Präteritum;3. Person Singular Präteritum von 'wissen';Er/sie/es wusste.
1;Präteritum;3. Person Plural Präteritum von 'beten';Sie beteten.
1;Präteritum;3. Person Plural Präteritum von 'leben';Sie lebten.
1;Präteritum;2. Person Singular Präteritum von 'können';Du konntest.
1;Präteritum;2. Person Singular Präteritum von 'können';Du konntest.
1;Präteritum;1. Person Plural Präteritum von 'erscheinen';Wir erschienen.
1;Präteritum;1. Person Plural Präteritum von 'gehen';Wir gingen.
1;Präteritum;3. Person Plural Präteritum von 'vermehren';Sie vermehrten.
1;Präteritum;2. Person Plural Präteritum von 'spucken';Ihr spucktet.
1;Präteritum;1. Person Singular Präteritum von 'müssen';Ich musste.
1;Präteritum;3. Person Singular Präteritum von 'vermehren';Er/sie/es vermehrte.
1;Präteritum;3. Person Singular Präteritum von 'gehen';Er/sie/es ging.
1;Präteritum;2. Person Plural Präteritum von 'haben';Ihr hattet.
1;Präteritum;1. Person Singular Präteritum von 'haben';Ich hatte.
1;Präteritum;1. Person Singular Präteritum von 'vermehren';Ich vermehrte.
1;Präteritum;3. Person Plural Präteritum von 'müssen';Sie mussten.
1;Präteritum;2. Person Plural Präteritum von 'vermehren';Ihr vermehrtet.
1;Präteritum;1. Person Singular Präteritum von 'haben';Ich hatte.
1;Präteritum;2. Person Singular Präteritum von 'erscheinen';Du erschienst.
1;Präteritum;3. Person Plural Präteritum von 'vermehren';Sie vermehrten.
1;Präteritum;2. Person Singular Präteritum von 'leben';Du lebtest.
1;Präteritum;2. Person Plural Präteritum von 'müssen';Ihr musstet.
1;Präteritum;3. Person Plural Präteritum von 'beten';Sie beteten.
1;Präteritum;2. Person Singular Präteritum von 'leben';Du lebtest.
1;Präteritum;2. Person Plural Präteritum von 'erscheinen';Ihr erschient.
1;Präteritum;3. Person Singular Präteritum von 'werfen';Er/sie/es warf.
1;Präteritum;3. Person Singular Präteritum von 'sterben';Er/sie/es starb.
1;Präteritum;2. Person Plural Präteritum von 'sterben';Ihr starbt.
1;Präteritum;2. Person Singular Präteritum von 'wollen';Du wolltest.
1;Präteritum;2. Person Singular Präteritum von 'probieren';Du probiertest.
1;Präteritum;2. Person Plural Präteritum von 'vermehren';Ihr vermehrtet.
1;Präteritum;1. Person Plural Präteritum von 'wollen';Wir wollten.
1;Präteritum;3. Person Plural Präteritum von 'helfen';Sie halfen.
1;Präteritum;2. Person Plural Präteritum von 'beneiden';Ihr beneidetet.
1;Präteritum;1. Person Plural Präteritum von 'probieren';Wir probierten.
1;Präteritum;1. Person Singular Präteritum von 'haben';Ich hatte.
1;Präteritum;3. Person Singular Präteritum von 'sterben';Er/sie/es starb.
1;Präteritum;1. Person Singular Präteritum von 'probieren';Ich probierte.
1;Präteritum;2. Person Singular Präteritum von 'wetten';Du wettetest.
1;Präteritum;2. Person Singular Präteritum von 'mögen';Du mochtest.
1;Präteritum;1. Person Plural Präteritum von 'vermehren';Wir vermehrten.
1;Präteritum;1. Person Singular Präteritum von 'werfen';Ich warf.
1;Präteritum;1. Person Plural Präteritum von 'beten';Wir beteten.
1;Präteritum;3. Person Singular Präteritum von 'vermehren';Er/sie/es vermehrte.
1;Präteritum;2. Person Plural Präteritum von 'spucken';Ihr spucktet.
1;Präteritum;3. Person Singular Präteritum von 'helfen';Er/sie/es half.
1;Präteritum;3. Person Plural Präteritum von 'studieren';Sie studierten.
1;Präteritum;3. Person Singular Präteritum von 'helfen';Er/sie/es half.
1;Präteritum;3. Person Singular Präteritum von 'helfen';Er/sie/es half.
1;Präteritum;1. Person Plural Präteritum von 'müssen';Wir mussten.
1;Präteritum;3. Person Plural Präteritum von 'verheiraten';Sie verheirateten.
1;Präteritum;1. Person Singular Präteritum von 'haben';Ich hatte.
1;Präteritum;3. Person Singular Präteritum von 'leben';Er/sie/es lebte.
1;Präteritum;3. Person Singular Präteritum von 'helfen';Er/sie/es half.
1;Präteritum;1. Person Plural Präteritum von 'können';Wir konnten.
